id,unixtime,operatingsystem
1237918,1540299995,other
1237940,1540278410,Windows 10
1237941,1540278784,Windows 10
1237942,1540279002,Windows XP
1237945,1540283424,other
1237948,1540285330,other
1237953,1540288763,Windows 7
1237959,1540296481,Windows 10
1237960,1540296580,Windows 8
1237963,1540299279,other
1237966,1540301145,Windows 10
1237967,1540301627,Windows 10
1237968,1540317231,Windows 10
1237970,1540301888,other
1237975,1540304121,Windows 10
1237976,1540304190,Windows 10
1237977,1540304945,Windows 10
1237978,1540304999,Windows 10
1237981,1540306300,Windows 10
1237982,1540306596,Windows 10
1237985,1540306569,Windows 10
1237988,1540309888,Windows 10
1237991,1540310778,Windows 10
1237992,1540311761,Windows 10
1237993,1540312375,Windows 8.1
1237994,1540313224,Mac OS
1237996,1540314346,Windows 7
1237999,1540314457,Windows 10
1238002,1540315732,Windows 10
1238004,1540317431,Windows 7
1238005,1540317696,Mac OS
1238006,1540318085,Linux
1238007,1540318225,Linux
1238008,1540318354,Windows 10
1238009,1540318881,Windows 7
1238010,1540319886,Linux
1238012,1540322817,Linux
1238013,1540321788,Windows 8
1238014,1540322234,Windows 7
1238016,1540325105,other
1238017,1540325236,other
1238020,1540328775,Windows 7
1238022,1540329798,Mac OS
1238024,1540330217,Windows 10
1238025,1540332093,Windows 7
1238026,1540334983,Windows 10
1238027,1540330932,Windows 10
1238031,1540338808,Windows 7
1238032,1540339762,Windows 10
1238033,1540340005,Windows 10
1238037,1540343306,Windows 7
1238040,1540344867,Windows 10
1238042,1540346681,Windows 10
1238043,1540349802,Windows 10
1238048,1540351366,Windows 7
1238049,1540352153,Windows 10
1238052,1540355246,Windows 10
1238054,1540356550,other
1238058,1540359940,Windows 10
1238060,1540363163,other
