id,tag,unixtime
1232232,firefox-6101,1536130800
1232232,firefox-610,1536130800
1232232,desktop,1536130800
1232232,linux,1536130800
1232232,rolandff62experiment,1536130800
1232232,theme,1536130800
1232234,privacy-and-security_1,1536130800
1232234,firefox-610,1536130800
1232234,firefox-6102,1536130800
1232234,desktop,1536130800
1232234,windows-10,1536130800
1232234,rolandff62experiment,1536130800
1232234,geolocation,1536130800
1232235,customize,1536130800
1232235,desktop,1536130800
1232235,rolandff62experiment,1536130800
1232235,add-ons,1536130800
1232235,youtube,1536130800
1232237,firefox-610,1536130800
1232237,desktop,1536130800
1232237,fix-problems,1536130800
1232237,windows-10,1536130800
1232237,rolandff62experiment,1536130800
1232237,crashes,1536130800
1232237,malware,1536130800
1232237,av,1536130800
1232238,sync,1536130800
1232238,desktop,1536130800
1232238,rolandff62experiment,1536130800
1232238,firefox-account,1536130800
1232240,other,1536130800
1232240,desktop,1536130800
1232240,rolandff62experiment,1536130800
1232240,webdev,1536130800
1232242,firefox-610,1536130800
1232242,other,1536130800
1232242,desktop,1536130800
1232242,windows-10,1536130800
1232242,pdf,1536130800
1232242,pdfjs,1536130800
1232242,rolandff62experiment,1536130800
1232243,firefox-610,1536130800
1232243,websites,1536130800
1232243,desktop,1536130800
1232243,windows-10,1536130800
1232243,theme,1536130800
1232243,videodriver,1536130800
1232243,rolandff62experiment,1536130800
1232244,other,1536130800
1232244,desktop,1536130800
1232244,windows-7,1536130800
1232244,bigpond,1536130800
1232244,webcompat,1536130800
1232244,webmail,1536130800
1232244,rolandff62experiment,1536130800
1232245,firefox-610,1536130800
1232245,other,1536130800
1232245,desktop,1536130800
1232245,windows-10,1536130800
1232245,rolandff62experiment,1536130800
1232246,firefox-610,1536130800
1232246,other,1536130800
1232246,desktop,1536130800
1232246,windows-7,1536130800
1232246,rolandff62experiment,1536130800
1232246,webcompat,1536130800
1232246,gmail,1536130800
1232248,privacy-and-security_1,1536131316
1232248,firefox-610,1536131316
1232248,desktop,1536131316
1232248,linux,1536131316
1232248,malware,1536131316
1232248,rolandff62experiment,1536131316
1232248,phishing,1536131316
1232249,firefox-610,1536131600
1232249,firefox-6102,1536131600
1232249,sync,1536131600
1232249,desktop,1536131600
1232249,windows-10,1536131600
1232249,firefox-account,1536131600
1232250,firefox-610,1536131511
1232250,other,1536131511
1232250,desktop,1536131511
1232250,windows-10,1536131511
1232250,rolandff62experiment,1536131511
1232250,windowsrestartmanager,1536131511
1232253,firefox-610,1536147218
1232253,desktop,1536147218
1232253,fix-problems,1536147218
1232253,windows-7,1536147218
1232253,slow,1536147218
1232253,rolandff62experiment,1536147218
1232254,firefox-610,1536134204
1232254,other,1536134204
1232254,desktop,1536134204
1232254,mac-os,1536134204
1232255,firefox-610,1536136637
1232255,other,1536136637
1232255,desktop,1536136637
1232255,windows-10,1536136637
1232258,firefox-610,1536137289
1232258,sync,1536137289
1232258,desktop,1536137289
1232258,windows-10,1536137289
1232258,firefox-account,1536137289
1232258,rolandff62experiment,1536137289
1232258,feature-request,1536137289
1232265,firefox-520,1536140147
1232265,privacy-and-security_1,1536140147
