daynumber,issue.type,issue.count
1,bookmarks,7
1,antivirus,2
2,bookmarks,10
2,antivirus,4
3,bookmarks,9
3,antivirus,4
4,bookmarks,17
4,antivirus,6
5,bookmarks,9
5,antivirus,2
6,bookmarks,5
6,antivirus,2
7,bookmarks,11
7,antivirus,2
8,bookmarks,10
8,antivirus,2
9,bookmarks,6
9,antivirus,2
10,bookmarks,5
10,antivirus,2
11,bookmarks,4
11,antivirus,3
12,bookmarks,6
12,antivirus,2
13,bookmarks,5
13,antivirus,1
14,bookmarks,2
14,antivirus,1
15,bookmarks,3
15,antivirus,0
16,bookmarks,5
16,antivirus,0
17,bookmarks,8
17,antivirus,3
18,bookmarks,9
18,antivirus,2
19,bookmarks,2
19,antivirus,2
20,bookmarks,3
20,antivirus,3
21,bookmarks,4
21,antivirus,5
